ngram,frequency
the united states,273
independent co uk,189
the u s,188
com donald trump,145
a lot of,135
com trump s,132
mar a lago,130
president donald trump,127
the white house,126
donald trump s,125
the middle east,114
one of the,108
of the united,97
com joe biden,96
iran nuclear deal,96
com bernie sanders,94
the supreme court,94
trump says he,93
thehill com trump,92
com trump says,89
do you think,89
positive for covid,86
then chances are,86
of trump s,85
chances are you,85
a libertarian if,85
that may interest,83
may interest you,83
in the middle,83
submissions that may,82
